,Content
194,"- O GOVERNO DO BRASIL JÁ ENTREGOU 340 MIL TÍTULOS PELO BRASIL (mais que o somatório de décadas de governos anteriores)

- Nesta terça, foram entregues mais 462 títulos de propriedade rural para assentados da reforma agrária de diversos municípios da Bahia. @Mapa_Brasil"
195,"1.1- A Fundação Nacional do Índio (@funaioficial ) investiu R$ 41,3 milhões em etnodesenvolvimento em aldeias de todo o país entre os anos de 2019/21. 

1.2- Tal investimento supera em 72% o total investido entre os anos de 2016/18, cujo aporte ficou em torno de R$ 24 milhões."
196,"- Aprovado o edital da 7ª rodada de concessões pelo @govbr e o leilão ocorrerá no 2º semestre de 2022. A previsão de investimento privado é de R$7,3 bilhões durante os contratos e inclui 15 aeroportos divididos em 3 blocos, gerando desenvolvimento e empregos."
197,"- LEILÕES/ IMÓVEIS DA UNIÃO: nova rodada! Localizados em 9 estados, os bens estão avaliados em R$ 59 milhões. Entre as ofertas estão apartamentos, casas e terrenos. 

- Além do enxugamento de gastos, os leilões são revertidos para investimentos ao Brasileiro desde 2019."
198,"- Toda mãe ou pai se indigna e se revolta ao ler que alguém que atentou contra a vida de uma criança poderá responder em liberdade, ser solto mediante fiança ou ficará pouco tempo na cadeia. Lamentamos que nossa Constituição não permita prisão perpétua para esse tipo de crime."
199,"- Then you will know the truth, and the truth will set you free. John 8:32

Hugs from Captain Jair Bolsonaro 👍🇧🇷"
200,"- Brasil dá mais um passo no combate à burocracia! Nossa MP da Modernização dos Cartórios foi aprovada e agora todos terão que fornecer serviços online e digitalizar acervo até o ano que vem. Gastos com deslocamento e serviços, bem como o estresse com filas, finalmente acabarão."
201,"- Em mais uma rodada, o Governo Federal libera recursos para andamento de obras de saneamento básico em Minas Gerais, Pernambuco, Rondônia, Rio Grande do Sul e São Paulo. 

- O objetivo é garantir a preservação do meio ambiente e a melhoria das condições de saúde das regiões."
202,"- Casa Verde E Amarela: O @govbr retomou construções paralisadas, ampliou o programa nacional de habitação popular, ultrapassando 1,2 milhão de unidades entregues à população em todo o país desde 2019, uma média de 1,1 mil por dia, beneficiando mais de 4,8 milhões de pessoas."
203,"-Graças à nosso ida à Rússia, em fevereiro, o Brasil recebe fertilizantes a tempo para próxima safra de soja:

-O Brasil importou quantidades recordes de fertilizantes para sua safra de soja. Alívio em meio a receios de interrupções dos embarques da Rússia, o principal fornecedor"
204,"- Tragédia das chuvas em PE e AL.

- O nosso Governo disponibilizou, desde o primeiro momento, todos os seus meios para socorrer aos atingidos, aí incluído as Forças Armadas.

- Na manhã de segunda (30/maio) me deslocarei para Recife para, in loco, melhor se inteirar da tragédia."
205,"- Estamos atentos às fortes chuvas que atingem Pernambuco e outros estados do nosso Nordeste. Determinei ao @mdregional_br o monitoramento ininterrupto da situação, com o envio de equipes para prestar o auxílio necessário às autoridades locais no socorro às regiões afetadas."
206,"- MARCO DO SANEAMENTO BÁSICO:  A falta de acesso ao saneamento básico infelizmente era um problema histórico.

- Devido a entraves impostos por grupos de interesse político e ideológico (principalmente por entraves da esquerda), o setor estava estagnado. (Segue o fio)"
207,"- A esquerda não quer que você se dê conta da realidade do narcotráfico no Brasil. Demonizam policiais e suavizam criminosos como se fossem vítimas e não bandidos cruéis fortemente armados, que desprezam as leis, oprimem, extorquem, ameaçam e matam qualquer um sem o menor receio."
208,"- Parabéns aos guerreiros do BOPE e da @PMERJ que neutralizaram pelo menos 20 marginais ligados ao narcotráfico em confronto, após serem atacados a tiros durante operação contra líderes de facção criminosa. A ação contou com apoio da DRE (@policiafederal ) e @PRFBrasil ."
209,"- Governo Federal vai repassar R$ 7,7 bilhões para estados e municípios. Os recursos são relativos à arrecadação dos bônus de assinatura do leilão dos excedentes da cessão onerosa dos campos de Sépia e Atapu, no Pré-Sal."
210,"- Sancionada a Lei nº 14.322, que altera a Lei Antidrogas (Lei nº 11.343/ 2006), para impedir a restituição de veículos usados para o transporte de drogas ilícitas a quem cometeu tal crime. 

- A iniciativa também permite a alienação ou o uso público do veículo. @JusticaGovBR"
211,- Comunico que estou abrindo mão da disputa do cinturão dos pesos médios no UFC. Boa tarde a todos!
212,"- Lançada a nova versão do GraphoGame Brasil, aplicativo gratuito que ajuda estudantes da pré-escola e dos anos iniciais do ensino fundamental a aprenderem a ler as primeiras letras, sílabas e palavras, com sons e instruções em português brasileiro."
213,"-Em apenas 2 dias nesta última semana:

. 440,9 kg de cocaína em MT 
. 312,1 kg de cocaína no MA 
. 3,253 t de maconha em MS
. 65 kg de cocaína em MG
. 120,93 kg de cocaína em PE

- Prejuízo estimado ao tráfico é de mais de R$128 milhões, famílias e vidas preservadas. @PRFBrasil"
214,"- Não assinarei nenhuma MP para taxar compras por aplicativos como Shopee, AliExpress, Shein, etc. como grande parte da mídia vem divulgando. Para possíveis irregularidades nesse serviço, ou outros, a saída deve ser a fiscalização, não o aumento de impostos. Boa tarde a todos!"
215,". Combate à corrupção no Poder Público:

. Operações envolvendo a @CGUonline :

- 2019: 41 operações especiais;

- 2020: 97 operações especiais;

- 2021: 64 operações especiais;

@WRosarioCGU"
216,"- @govbr: instituição em tempo recorde do auxílio emergencial no início da pandemia, reduzindo os impactos dos inconsequentes “fecha tudo” promovidos por muitos governadores."
217,"- O @govbr atingiu neste mês a marca de 4,2 mil obras de infraestrutura esportiva concluídas, de norte a sul do país, considerando os últimos 3 anos.

- O investimento no esporte cria oportunidades, afasta os jovens das drogas e se torna-se um grande investimento em saúde."
218,"Brasil tem celebrado acordos históricos, esperados por décadas, além de abrir e reconquistar mercados para nossa economia;

. 229 acordos internacionais assinados desde 2019;

. Abertos mais de 200 mercados para produtos agropecuários brasileiros em 51 países desde 2019;"
219,"Foco no Ensino Básico, Ensino Profissionalizante e valorização dos professores:

. Criação do Programa de escolas cívico-militares;

. Aumento histórico do piso salarial  de 32,24% para os professores da Educação Básica

. Criação da Secretaria de Alfabetização;"
220,"- No ultimo dia 11, a @PRFBrasil gerou novo prejuízo milionário para o crime organizado!

. Em Alto Garças/MT: 400 kg de cocaína;

. Já em Caucaia/CE: mais 249 kg de cocaína;

. Total: 649 Kg em mais um dia, resultando num prejuízo ao crime organizado de cerca de R$ 77 milhões."
221,"- Serão implantados, por meio do Programa Água Doce, 426 novos dessalinizadores em todos os estados da Região Nordeste, além de Minas Gerais. Ação também busca reduzir necessidade de carro-pipa. @mdregional_br @DanielODFerr"
222,"-Nova rodada de redução de impostos reflete no preço dos alimentos aos Brasileiros.

.Carne bovina: de 10,8% para 0
.Carne de frango: de 9% para 0
.Farinha de trigo: de 10,8% para 0
.Bolachas e biscoitos: de 16,2% para 0
.Produtos de padaria e pastelaria: de 16,2% para 0."
223,"- Desde 2019, foram leiloados 83 ativos e contratados aproximadamente R$ 100 bilhões em investimentos privados para os 4 modais de transportes, que geram milhares de empregos diretos e indiretos e superarão à marca de 1,5 milhão no decorrer dos contratos. @MInfraestrutura"
224,". Mesmo antes da pandemia, já em 2019 foram batidos mais recordes, desta vez, de abertura de leitos hospitalares: 

. Aumento de 39% dos leitos de UTI já em 2019, com a abertura de 1.424 novos leitos;

. Investimento de quase R$ 200 milhões para finalização de obras inacabadas;"
225,"- PARÁ: o @govbr está ampliando a atuação no arquipélago do Marajó. 

- Projeto-piloto do @bndes leva saneamento básico para cerca de 460 escolas localizadas nos 16 municípios da região. 

- Iniciativa atenderá mais de 12,6 mil alunos, com investimento previsto de R$ 48 milhões."
226,"Mesmo com a crise causada pela covid em todo mundo, o “fecha tudo” impulsionado por muitos governadores, e a crise global, o Brasil não parou e vem ampliando o saldo positivo de empregos. A geração de emprego no país em 2021, por exemplo, foi a maior dos últimos 10 anos."
227,"- RECORDES AVANÇANDO: O Departamento de Operações de Fronteira, no âmbito da operação Hórus, apreendeu 7,2 t de maconha em Ponta Porã (MS). Ação é coordenada pela Secretaria de Operações Integradas do @JusticaGovBR gerou um prejuízo mais de R$ 14 milhões aos criminosos. @govbr"
228,"- Entregas do @MInfraestrutura no mês de março e abril de 2022:

. 2/3 - Restauração de 50 km da BR-364/RO, entre Presidente Médici e Pimenta Bueno;

. 3/3 - Implantação de Estações Meteorológicas de Superfície Automáticas nos aeroportos de Tucuruí/PA, Caruaru/PE e Carauari/AM;"
229,"- @CGUonline e Polícia @policiafederal combatem desvio de recursos pelo CONSÓRCIO DO NORDESTE

- Operação Cianose aprofunda investigações de fraude e lavagem de dinheiro na aquisição de respiradores pulmonares no valor de quase R$ 49 milhões."
230,"- CORTE DE 25% no Imposto sobre Produto Industrializado (IPI) ANUNCIADO EM FEVEREIRO É AMPLIADO PARA 35%.

- Decreto publicado hoje: esforços de *reindustrialização em território nacional, por meio do incentivo à competitividade e geração de emprego e renda em todas as regiões."
231,"- Mais apreensões em diferentes regiões do país.

. Em Poconé (MT), foram encontrados 177kg de pasta base.

. Em Torres (RS): foram 12kg de cloridrato e 38kg de crack;

. Em Altamira (PA): 23kg de pasta base de cocaína;"
232,"-Diante das consequências do “fique em casa que a economia a gente vê depois” e de acontecimentos mundiais, seguem mais ações do @govbr .

Auxílio Brasil: 

- Desde novembro de 2021, foram repassados R$30,9 bilhões.
- 18.021.825 famílias atendidas
- R$409,81 é o valor médio atual"
233,"- NÃO CABE RELATIVIZAÇÃO NA DEFESA DA VIDA, ESPECIALMENTE DE INOCENTES INCAPAZES DE SE DEFENDER:

- SEGUEM ALGUMAS AÇÕES:

. Posicionamento do Brasil contra o aborto e a ideologia de gênero e em defesa das familias em fóruns internacionais;"
234,"CARGA TRIBUTÁRIA TERÁ REDUÇÃO DE R$ 62,9 BILHÕES EM 3 ANOS.

A Tipi foi aprovada pelo Decreto nº 10.923, em dezembro de 2021, e sua eficácia tem início a partir de 1º de maio de 2022.

. R$ 19,5 bilhões para 2022
. R$ 20,9 bilhões para 2023
. R$ 22,5 bilhões para 2024"
235,"- Nova rodada: o @govbr vai repassar mais de R$ 162 milhões às instituições da Rede Federal de Educação Profissional, Científica e Tecnológica. Os recursos serão destinados ao atendimento de obras, investimentos em acessibilidade, prevenção e combate a incêndios e equipamentos."
236,"- Novo decreto do @govbr confirma a redução de 25% da alíquota do Imposto sobre Produtos Industrializados (IPI), que valerá para quase todos os produtos a partir de 1º de maio.

- Com o corte os cidadãos deixarão de pagar cerca de R$ 20 bilhões em impostos."
237,"- Aliança Estratégica contra o Crime Organizado Transnacional:

- Operação brasileiro-paraguaia Nova Aliança destruiu 11,6 mil ton de drogas, de 2019 a 2021.

- 🇧🇷 apresentou no 🇵🇾 plano elaborado pelo @JusticaGovBR para intensificar o combate ao crime organizado no Cone Sul."
238,"- O @minsaude converte 6,4 mil leitos de unidade de terapia intensiva (UTI) exclusivos para covid em leitos convencionais de UTI para o Sistema Único de Saúde (SUS), que serão usados no tratamento de enfermidades diversas.

.Detalhes em nosso Telegram: “Jair M. Bolsonaro 1”"
239,"- Fortemente abalados durante a pandemia, muito em função dos inconsequentes ""fecha-tudo"" e ""a economia a gente vê depois"", os setores de cultura e turismo contam com o auxílio do @govbr para manter empregos, retomar as atividades e aquecer a economia do país. @CulturaGovBr"
240,"- NESTA SEMANA MAIS IMPOSTOS ZERADOS: nova rodada de módulos solares fotovoltaicos, equipamentos de adaptação para deficientes nos serviços de tecnologia, equipamentos médicos e de telecomunicações integram a grande lista de imposto de importação zerado pelo Governo Federal."
241,- Bandeira verde para todos os consumidores de energia a partir de 16/04. A conta de luz terá redução de cerca de 20%.
242,"- Em um único dia, menos 1300 kg de cocaína nas mãos do crime. Apreensão recorde em Sergipe.

- Prejuízo de mais de R$ 200 milhões ao crime organizado e famílias preservadas!

@JusticaGovBR @andersongtorres @policiafederal 

Mais detalhes em nosso Telegram: “Jair M. Bolsonaro 1”"
243,"-O Governo Federal, por meio do @mdregional_br , segue apoiando o Rio de Janeiro, mais uma vez afetado por fortes chuvas nas últimas horas. 

- Secretário nacional de Proteção e Defesa Civil, coronel Alexandre Lucas, está em deslocamento para as regiões mais atingidas."
244,"- Início de um novo ciclo! O @govbr fez a primeira desestatização portuário do Brasil, da Companhia Docas do Espírito (Codesa). Um leilão que garantiu não só R$ 850 milhões em investimentos e 15 mil empregos, mas que abriu as portas para as privatizações do Porto de Santos."
245,"- Portaria do @govbr criou o programa Aproxima. Nova modalidade habitacional garante que terrenos ociosos da União, localizados em áreas urbanas, serão destinados à construção de moradias de interesse social para pessoas de baixa renda."
246,"- Para ampliar o acesso ao tratamento odontológico pelo Sistema Único de Saúde (SUS), o @govbr investirá mais R$ 1,6 bilhão no programa Brasil Sorridente. A iniciativa oferta promoção, prevenção e tratamento bucal para todas as idades na rede pública de saúde."
247,"1- @PRFBrasil efetua a maior apreensão de cocaína no estado do Piauí nos últimos dois anos. O Fagrante aconteceu na cidade de Piripiri.

- Estima-se que o crime organizado deixou de lucrar mais de R$ 11,8 milhões com a apreensão de 66,1 Kg da droga e muitas vidas foram salvas."
248,"- O @govbr anunciou nesta segunda (21) que zerou o imposto de importação de alimentos que mais pesam sobre a inflação. Além das diversas iniciativas tomadas anteriormente sobre combustíveis, também foi zerado o IPI do etanol, levando impacto de até R$ 0,20 no preço da gasolina."
249,"- Mais 1,67 milhão de profissionais receberão Abono Salarial do PIS/Pasep, após novo reprocessamento feito pela Dataprev. Com este lote, um total de 24,2 milhões de pessoas foram consideradas elegíveis a receber os valores, cujo volume de recursos é da ordem de R$ 22,62 bilhões."
250,"- Sancionada a criação do Programa Nacional de Apoio à Aquisição de Habitação para Profissionais da Segurança Pública.

- O Habite Seguro, promovido pelo @JusticaGovBR , garante condições especiais de aquisição da casa própria para os profissionais de segurança pública. @govbr"
251,"- Quantidade de pequenos negócios abertos no Brasil em 2021 é a maior da história.

- Consolidação jurídica do MEI, Lei da Liberdade Econômica, desburocratizações, digitalização histórica  tempo e menos gastos foram uns dos incentivos para melhoria do ambiente de negócios."
252,"Números de transações com PIX:

Nov/2021 - 1,24 Bilhões
Dez/2021 - 1,46 Bilhões
Jan/2022 - 1,30 Bilhões

- Com o PIX as pessoas vão economizar com os bancos, aproximadamente, R$ 20 bilhões no corrente ano."
253,"- O @govbr , por meio do @mdregional_br ,  repassa mais recursos para a continuidade de obras de saneamento básico em 11 estados brasileiros. As intervenções nesta etapa são no CE , GO, MA, MG, MT, RN, RO , RS, SC, SE e SP. Ao todo, mais de 325 mil famílias serão alcançadas."
254,"- Mais Leilões de Terminais Pesqueiros:

- Depois do leilão para reformas e revitalização do Terminal Pesqueiro (TPP) de Cabedelo na Paraíba, trazendo dinamismo, organização, qualificação dos produtos e com seu funcionamento, geração e atração de empregos diretos em indiretos."
255,"- Diziam que a violência aumentaria ​após minha eleição. ​A verdade é que a violência caiu. E não apenas caiu: em 3 anos de Governo, o Brasil bateu recorde em queda de homicídios e atingiu os menores índices em quase 15 anos.​ ​São fatos que ninguém pode negar."
256,- Não assisto BBB22. Muito ruim. Boa noite a todos! 👍
257,"- Somente nos 2 primeiros meses deste ano, foram realizados 19 leilões pelo país com bens apreendidos do crime organizado. A arrecadação ultrapassa R$ 8,5 milhões. 

- Em 2021, o @JusticaGovBR , arrecadou R$ 360 milhões com a realização de 244 leilões em todos os estados. @govbr"
258,"- PETS da UCRÂNIA para o BRASIL:

- Brasileiros que deixaram a Ucrânia e agora se encontram em Varsóvia, na Polônia , entraram em contato conosco para que possam estar acompanhados de seus animais de estimação no vôo de repatriação organizado pelo Governo Federal."
259,"- MINISTÉRIO DA INFRAESTRUTURA JÁ SOMA MAIS DE 10 ENTREGAS NO INÍCIO DE 2022: (Santa Catarina, Espírito Santo, Minas Gerais, Goiás, Ceará, Tocantins, Rondônia, Bahia, Rio Grande do Sul, São Paulo e muito mais a caminho como exposto adiante:

@MInfraestrutura @tarcisiogdf @govbr"
260,"- @govbr já garantiu R$ 2,15 BILHÕES para apoio a cidades atingidas por desastres naturais como RJ, MG e BA.

-Valor foi alcançado com publicação da Medida Provisória nº 1.102/22, que liberou mais R$ 479,8 milhões para ações de proteção e defesa civil aos locais mais afetados."
261,"- Não procede a informação que eu teria falado com o Presidente Putin no dia de ontem.
- Conversei com ele apenas por ocasião da minha visita à Rússia em 16 de fevereiro.
- A imprensa se supera nas fakenews a cada dia passado!"
262,"- Até o momento, já conseguimos levar cerca de 50 brasileiros para países vizinhos, incluindo jornalistas, estudantes, empresários e atletas. Também coloquei meus ministros, assessores e a diplomacia brasileira a serviço da evacuação de brasileiros por vias terrestres."
263,"- Estou totalmente empenhado no esforço de proteger e auxiliar os brasileiros que estão na Ucrânia.

- Nossa Embaixada em Kiev permanece aberta e pronta a auxiliar os cerca de 500 cidadãos brasileiros que vivem na Ucrânia e todos os demais que estejam por lá temporariamente."
264,"- Nosso forró sente hoje uma grande perda com o passamento da cantora Paulinha Abelha, um dos grandes nomes da lendária banda Calcinha Preta. Nossos votos de pesar e solidariedade aos familiares, amigos e fãs da cantora. Que Deus conforte o coração de todos com seu infinito amor!"
265,"- Um vereador petista, próximo a Lula, lidera invasões de igrejas. A vice na chapa petista à presidência em 2018 celebra a liberação do assassinato de bebês até o 6° mês de gestação. Foi isso o que o povo rejeitou nas urnas em 2018 e que ele irá julgar com o voto em 2022."
266,"- No Brasil, a esquerda festeja e aplaude a liberação do aborto até o 6° mês de gestação, lamentavelmente aprovado na Colômbia. Trata-se da vida de um bebê que já tem tato, olfato, paladar e que já ouve a voz de sua mamãe. Qual o limite dessa desumanização de um ser inocente?"
267,"- O Fundo Nacional de Desenvolvimento da Educação lançou o Malha Fina FNDE. 

- O novo modelo, em parceira com a @CGUonline , agiliza análise de prestação de contas, com economia inicial prevista de cerca de R$ 782 milhões. @WRosarioCGU @mribeiroMEC @MEC_Comunicacao @govbr"
268,"- De Moscou tomei conhecimento sobre a tragédia que se abateu em Petrópolis/RJ.

- Fiz várias ligações para os Ministros @rogeriosmarinho e Paulo Guedes para auxílio imediato às vítimas, bem como conversei com o @DefesaGovBr , General Braga Neto, que me acompanha na Rússia."
269,"- A ideologia nazista deve ser repudiada de forma irrestrita e permanente, sem ressalvas que permitam seu florescimento, assim como toda e QUALQUER ideologia totalitária que coloque em risco os direitos fundamentais dos povos e dos indivíduos, como o direito à vida e à liberdade."
270,"- Os cerca de 36 milhões de aposentados, pensionistas pagos pelo INSS não terão que fazer mais a prova de vida presencialmente. Agora, a checagem será feita pelo próprio governo, que consultará bases de dados públicas e privadas para saber se a pessoa está viva.

@onyxlorenzoni"
271,"- A Unidade de Fertilizantes e Nitrogenados (UFN-3) de Três Lagoas/MS iniciou sua construção em 2011. A @petrobras investiu R$ 3,8 bilhões, mas teve sua obra paralisada por má gestão."
272,"- NOVO RECORDE: Mais de R$ 100 milhões de prejuízo ao narcotráfico e famílias protegidas.

- Em apenas 04 dias a @PRFBrasil apreendeu 558,8kg de cocaína no Mato Groso do Sul.

. 200kg em Campo Grande e mais 358,8Kg  em Ivinhema.

@JusticaGovBR @andersongtorres @govbr @govbrazil"
273,"- I'm not sure what @joerogan thinks about me or about my government, but it doesn't matter. If freedom of speech means anything, it means that people should be free to say what they think, no matter if they agree or disagree with us. Stand your ground! Hugs from Brazil. 👍"
274,"- Leilão de aeroportos |  7ª rodada de concessões aeroportuárias. 

- Serão 4 lotes de aeroportos oferecidos à iniciativa privada ainda no 1º semestre de 2022, com investimentos na casa dos R$ 8,63 bilhões. (Empregos e desenvolvimento regional). @MInfraestrutura @tarcisiogdf"
275,"- RECUPERAÇÃO DE NASCENTES DE RIOS: Os projetos selecionados do Programa Águas Brasileiras abrangem 250 municípios nas bacias do Rio São Francisco, Tocantins-Araguaia, Parnaíba e Taquari, em ações de recuperação e conservação, além do plantio de  mais de 100 milhões de árvores."
276,"- COMBATE À CORRUPÇÃO NOS RECURSOS PÚBLICOS DESTINADOS AO COVID:

126 operações policiais realizadas
1.867 mandados de busca e apreensão
245 prisões
Evitados mais de R$ 3 bilhões de desvios

. De 04/20 à 10/21

@JusticaGovBR @andersongtorres"
277,"- RIO DE JANEIRO: seis hospitais federais na cidade vão receber um reforço no atendimento realizado para a população. Mais de 1,7 mil profissionais de saúde serão contratados para atuarem nas unidades que compõem o SUS. @govbr @govbrazil"
278,"- Prisão de líder do PCC!

- Na tarde da última segunda-feira, em Itapecerica – SP, a Polícia Rodoviária Federal realizou  a prisão de 2 integrantes do PCC, sendo um deles o responsável pela articulação internacional da organização criminosa. @PRFBrasil @JusticaGovBR"
279,"- Em governos anteriores o SEU DINHEIRO era usado para financiar ditaduras socialistas. Atualmente, entre muitos exemplos de valorização do Brasileiro, mais um avanço acontece!"
280,"- Os 38 países membros da OCDE decidiram hoje, por unanimidade, dar início às discussões com o Brasil para o nosso ingresso na Organização que reúne as economias mais avançadas do mundo.

- A adesão à OCDE turbina a nossa economia, atrai investimentos e gera emprego e renda."
281,"- Nos deixa hoje um dos maiores pensadores da história do nosso país, o Filósofo e Professor Olavo Luiz Pimentel de Carvalho.

- Olavo foi um gigante na luta pela liberdade e um farol para milhões de brasileiros. Seu exemplo e seus ensinamentos nos marcarão para sempre."
282,"- Beneficio Emergencial preservou 2,6 milhões de empregos formais em todo o Brasil, em 2021.

- Programa Emergencial de Manutenção do Emprego e da Renda (BEm) contou com R$ 7 bilhões em recursos, celebrando 3,3 milhões de acordos, dos quais participaram 634,5 mil empregadores."
283,"- Plano Nacional de Expansão da Testagem:

- Encaminhado à Anvisa informações do autoteste de antígeno para detecção do Covid19.

- O uso do autoteste pode garantir o início mais rápido das ações para interromper a cadeia de transmissão."
284,"- NOVA RODADA: Governo Federal ZERA alíquotas aplicadas na importação de produtos para uso em laboratórios, clínicas, hospitais, consultórios e campanhas. @govbr"
285,"- Nos deixou, hoje, nosso amado amigo Batoré. Foram muitos os momentos felizes que o Sr. Ivanildo Gomes Nogueira proporcionou ao Brasil."
286,- Comunidade científica brasileira inicia o ano de 2022 com uma boa notícia. Aprovado aumento na cota de isenção para importação de equipamentos e insumos voltados para a pesquisa científica e tecnológica no país. US$ 388.550.000 e começou a valer a partir do dia 1• de janeiro.
287,1- RENEGOCIAÇÃO DO FIES: Estudantes que contrataram o Fundo de Financiamento Estudantil até o 2º semestre de 2017 e que estejam com débitos vencidos e não pagos poderão renegociar essas dívidas com até 92% de desconto no saldo devedor e 100% de desconto nos encargos moratórios.
288,"- Somente em 2021, o Governo Federal investiu mais de R$ 16 bilhões  na estrutura do SUS. A estratégia incluiu a autorização de 26,6 mil leitos de UTI Covid 19 e 4.305 leitos de suporte ventilatório pulmonar, além da entrega cerca de 5 mil ventiladores pulmonares. @govbr"
289,"- O @MEC_Comunicacao liberou R$ 133,1 milhões para instituições federais de ensino

. Universidades e hospitais universitários: R$ 86,7 milhões.

. Rede Federal de Educação Profissional, Científica e Tecnológica: R$ 45,8 milhões.

. Outros institutos federais: R$ 591,7 mil."
290,"- COMBATE AOS TRAFICANTES E AO CRIME ORGANIZADO: 

- leilões de bens dos marginais arrecadam R$ 171 MILHÕES em 2021 (até novembro);

- valor já é 176% superior a 2020; @govbr @JusticaGovBR"
291,"- As fortes chuvas voltaram ao sul da Bahia.
- Continuam na região todos os meios do @govbr na desobstrução de rodovias, distribuição de alimentos, resgate, antecipação do Fundo de Garantia, etc.
- Na região estão os @MinCidadania @joaoromaneto e @mdregional_br @rogeriosmarinho"
292,"- Dados do CAGED: 324.000 novos empregos em novembro/2021.

- Desde janeiro/2019, quando assumimos, o saldo de empregos ultrapassa 3 milhões.

- PS.: ainda vivemos as consequências do ""fica em casa que a Economia a gente vê depois."""
293,"- NOVA RODADA: O @mdregional_br liberou mais de R$ 152,2 milhões para a continuidade de obras de saneamento básico em 19 unidades federativas. Ao todo, mais de 876,6 mil famílias serão alcançadas pelos empreendimentos e quase 167,4 mil empregos serão gerados."
294,"- RONDÔNIA / DIA HISTÓRICO: quase 15 mil famílias de Rondônia já podem contar com o título de suas propriedades rurais. A @Mapa_Brasil @TerezaCrisMS entregou o título para dona Creuzinete Valvassori Helmer, de Alta Floresta D’Oeste,que tenta regularizar sua terra desde 1991."
295,"- A partir de janeiro de 2022, médicos-residentes e residentes em área profissional da saúde de todo o país passarão a contar com a incorporação definitiva de R$ 667 no valor da bolsa. Com isso, o valor mínimo passará para R$ 4.106,09."
296,"- Parceria entre o @mincomunicacoes e @MEC_Comunicacao , o programa Internet Brasil, nova iniciativa do Governo Federal, vai levar acesso à internet móvel para alunos da rede pública de ensino básico de famílias inscritas no Cadastro Único."
297,- Vale lembrar. O vencedor das eleições de 2022 escolhe mais dois ministros para o Supremo Tribunal Federal. Bom Dia a todos!
298,"- Atualização sobre o caso do jogador brasileiro ALEX DOS SANTOS GONÇALVES, que está na Indonésia:

1. A embaixada do Brasil informa que ele esteve com autoridades indonésias nos dias 6 e 7 de dezembro, acompanhado de advogado e de representante diplomático brasileiro."
299,"-TRATAMENTO DE CÂNCER: a @ebserh ,vinculada ao @MEC_Comunicacao , investiu R$ 126 milhões e disponibilizou 32 novos equipamentos médico-hospitalares de grande porte para os hospitais universitários federais.

- Diagnóstico rápido, preciso e ampliação dos serviços. @mribeiroMEC"
300,"- O @govbr conclui o maior montante de repasse financeiro em Segurança Pública para estados da história: 

- Esta semana a transferência foi de mais de R$ 722 milhões do Fundo Nacional de Segurança Pública, que se abastece também com nova lei que agiliza venda de bens do tráfico."
301,"- Após zerar os impostos federais do gás de cozinha, há meses, agora sancionamos o Projeto de Lei n° 1.374, de 2021, que cria o Auxílio Gás, com objetivo de aliviar o preço do gás de cozinha à famílias de baixa renda diante do “fique em casa que a economia a gente vê depois”."
302,"- O @govbr , em mais uma rodada, reduz a alíquota de importação de produtos vinculados à energia renovável. A tarifa de painéis solares, por exemplo, cai de 12% para 6%.

- Foram reduzidos também as tarifas de importação sobre absorventes e fraldas. ( De 12% para 10%)."
303,"- Fora os bilhões de reais enviados a todos os estados e municípios do país, em mais uma rodada, o @minsaude destina mais R$ 53,3 milhões para custeio de 3.712 leitos de suporte ventilatório pulmonar. 

. São mais de 360 milhões de doses de vacinas distribuídas a todo Brasil."
304,"- Transformação da matriz de transportes promovida pelo @govbr segue avançando, e hoje a construção de novas ferrovias via autorização deu mais um passo importante. ANTT atestou viabilidade de trajeto dos cinco primeiros pedidos, que agora seguem para o @MInfraestrutura ."
305,"- MAIS UMA APREENSÃO E RECORDE HISTÓRICO: no dia 16, a PF apreendeu mais 2,7 TONELADAS de cocaína em uma residência em Pelotas/RS.

- Centenas de milhões de reais de prejuízo ao crime organizado e famílias preservadas.

@JusticaGovBR @policiafederal @andersongtorres @govbrazil"
306,"- Mais uma: A @PRFBrasil na manhã do dia (14), apreendeu aproximadamente 441kg de cloridrato de cocaína, no Porto de Vila do Conde, em Barcarena/PA. 

- O prejuízo para o crime organizado é estimado em quase 80 MILHÕES de reais. @JusticaGovBR"
307,"OS RECORDES NÃO PARAM DE SER BATIDOS: A @PRFBrasil causa mais um prejuízo diário ao crime organizado. Desta vez, de aproximadamente R$ 11.000.000,00 ao crime organizado na cidade de Cuiabá/MT. São menos 96 kg de pasta base de cocaína em circulação e mais famílias preservadas."
308,"- Desoneração da folha de pagamento: anunciada, nesta quinta (11), a prorrogação da medida por mais dois anos. 

- A desoneração da folha visa reduzir o desemprego, ajudando os 17 setores que mais empregam na economia brasileira. @govbr @secomvc"
309,"- Com 19 votos de 24 possíveis, o brasileiro Rodrigo Mudrovitsch foi eleito juiz da Corte Interamerica de Direitos Humanos."
310,"- O @govbr autorizou, nesta terça-feira (9/11), a doação de imóvel em Santos (SP), avaliado em R$ 43 milhões, para a construção de 550 moradias destinadas a famílias de baixa renda da região. @govbrazil"
311,"- O @minsaude habilitou 116 novas equipes multiprofissionais do programa Melhor em Casa para atuarem no atendimento domiciliar. O programa permite que pacientes com doenças graves e crônicas recebam atendimento especializado em casa, perto da família."
